activity_date,customerid,transaction_method,transaction_type, transaction_amount
4/3/2024,8304,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,6217,ATM,WITHDRAWAL,"  50,000 "
4/3/2024,4062,ATM,WITHDRAWAL,"  1,200,000 "
4/3/2024,5463,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,6326,ATM,WITHDRAWAL,"  200,000 "
4/3/2024,480,ATM,WITHDRAWAL,"  300,000 "
4/3/2024,7743,ATM,TRANSFER,"  1,000,000 "
4/3/2024,3694,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,4857,ATM,TRANSFER,"  4,000,000 "
4/3/2024,600,ATM,WITHDRAWAL,"  600,000 "
4/3/2024,4206,ATM,TRANSFER,"  1,500,000 "
4/3/2024,786,ATM,TRANSFER,"  5,000,000 "
4/3/2024,8644,ATM,WITHDRAWAL,"  400,000 "
4/3/2024,600,ATM,WITHDRAWAL,"  1,400,000 "
4/3/2024,4277,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,7170,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,3010,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,6911,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,5952,ATM,BIAYA,"  7,500 "
4/3/2024,2168,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,65,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,3172,ATM,TRANSFER,"  5,280,000 "
4/3/2024,7732,ATM,WITHDRAWAL,"  100,000 "
4/3/2024,1795,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,3974,ATM,WITHDRAWAL,"  200,000 "
4/3/2024,1223,ATM,WITHDRAWAL,"  100,000 "
4/3/2024,3105,ATM,WITHDRAWAL,"  500,000 "
4/3/2024,1465,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,6604,ATM,WITHDRAWAL,"  1,500,000 "
4/3/2024,5027,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,3172,ATM,WITHDRAWAL,"  1,400,000 "
4/3/2024,4857,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,5463,ATM,WITHDRAWAL,"  1,000,000 "
4/3/2024,76,ATM,WITHDRAWAL,"  1,000,000 "
4/9/2024,3985,BRANCH,BUNGA,"  172,787 "
4/9/2024,1365,BRANCH,BIAYA,"  1,500 "
4/9/2024,8304,MERCHANT,PAYMENT,  116 
4/9/2024,2846,BRANCH,BIAYA,"  2,000 "
4/9/2024,5312,BRANCH,TRANSFER,"  468,750 "
4/9/2024,844,BRANCH,TRANSFER,"  201,948 "
4/9/2024,5312,MERCHANT,PAYMENT,"  10,000 "
4/9/2024,4206,MERCHANT,PAYMENT,"  5,660 "
4/9/2024,4206,BRANCH,BUNGA,"  20,667 "
4/9/2024,4277,MERCHANT,PAYMENT,"  928,000 "
4/9/2024,3172,BRANCH,BIAYA,"  4,000 "
4/9/2024,3172,BRANCH,BIAYA,"  1,000 "
4/9/2024,3183,BRANCH,BUNGA,"  381,147 "
4/9/2024,6513,MERCHANT,PAYMENT,  130 
4/9/2024,4206,MERCHANT,PAYMENT,"  5,200 "
4/9/2024,4266,BRANCH,BIAYA,"  1,500 "
4/9/2024,7163,BRANCH,BIAYA,"  2,000 "
4/9/2024,6326,MERCHANT,PAYMENT,  20 
4/9/2024,1047,BRANCH,TRANSFER,"  3,677,024 "
4/9/2024,7550,BRANCH,BIAYA,"  1,500 "
4/9/2024,4288,MERCHANT,PAYMENT,"  517,500 "
4/9/2024,6513,BRANCH,PAYMENT,"  6,715,630 "
4/9/2024,1310,BRANCH,BIAYA,"  1,500 "
4/9/2024,377,BRANCH,BIAYA,"  2,000 "
4/9/2024,7743,BRANCH,BIAYA,"  1,500 "
4/9/2024,377,MERCHANT,PAYMENT,  35 
4/9/2024,1892,BRANCH,BIAYA,"  1,000 "
4/9/2024,9410,BRANCH,BIAYA,"  1,000 "
4/9/2024,6513,BRANCH,PAYMENT,"  25,831,320 "
4/9/2024,4288,MERCHANT,PAYMENT,  164 
4/9/2024,8779,MERCHANT,PAYMENT,"  266,904 "
4/9/2024,2759,MERCHANT,PAYMENT,"  7,081 "
4/9/2024,326,MERCHANT,PAYMENT,  153 
4/9/2024,5027,BRANCH,BIAYA,"  1,500 "
4/9/2024,7550,BRANCH,PAYMENT,"  17,476,297 "
4/9/2024,5225,BRANCH,BIAYA,"  4,000 "
4/9/2024,1104,MERCHANT,PAYMENT,  4 
4/9/2024,844,MERCHANT,PAYMENT,"  102,500 "
4/9/2024,5232,BRANCH,BIAYA,"  1,000 "
4/9/2024,2759,MERCHANT,PAYMENT,"  29,678 "
4/9/2024,6513,MERCHANT,PAYMENT,  775 
4/9/2024,779,BRANCH,BUNGA,"  30,492 "
4/9/2024,7050,BRANCH,BIAYA,"  1,500 "
4/9/2024,844,BRANCH,BIAYA,"  1,000 "
4/9/2024,1795,BRANCH,BIAYA,"  1,000 "
4/9/2024,4277,BRANCH,BIAYA,"  1,500 "
4/9/2024,3161,BRANCH,BUNGA,"  647,951 "
4/9/2024,8797,MERCHANT,PAYMENT,"  48,000 "
4/9/2024,6326,MERCHANT,PAYMENT,  100 
4/9/2024,2237,BRANCH,BIAYA,"  1,000 "
4/9/2024,7550,BRANCH,TRANSFER,"  500,000 "
4/9/2024,779,BRANCH,BIAYA,"  1,500 "
4/9/2024,1784,BRANCH,BIAYA,"  2,000 "
4/9/2024,844,BRANCH,BIAYA,"  1,500 "
4/9/2024,1223,MERCHANT,PAYMENT,"  5,900 "
4/9/2024,2146,MERCHANT,PAYMENT,"  100,000 "
4/9/2024,5225,MERCHANT,PAYMENT,  6 
4/9/2024,377,MERCHANT,PAYMENT,  3 
4/9/2024,7732,MERCHANT,PAYMENT,  10 
4/9/2024,480,BRANCH,BUNGA,"  330,666 "
4/10/2024,9216,DEBIT CARD,PAYMENT,"  288,500 "
4/10/2024,1104,DEBIT CARD,PAYMENT,"  90,101 "
4/9/2024,7772,DEBIT CARD,PAYMENT,"  157,000 "
4/9/2024,1465,DEBIT CARD,PAYMENT,"  1,000,600 "
6/30/2014,65,BANCA,NON DIGITAL,"  4,000,000 "
12/14/2022,4857,BANCA,NON DIGITAL,"  500,000,000 "
12/17/2021,779,BANCA,NON DIGITAL,"  90,000,000 "
3/14/2018,6386,BANCA,NON DIGITAL,"  300,000,000 "
3/25/2022,6386,BANCA,NON DIGITAL,"  200,000,000 "
11/11/2022,6386,BANCA,NON DIGITAL,"  100,000,000 "
11/24/2021,1365,BANCA,NON DIGITAL,"  750,000,000 "
7/12/2023,2497,BANCA,NON DIGITAL,"  250,000,000 "
8/9/2017,480,BANCA,NON DIGITAL,"  100,000,000 "
5/31/2012,1223,BANCA,NON DIGITAL,"  500,000 "
5/26/2014,2960,BANCA,NON DIGITAL,"  10,000,000 "
6/30/2020,2464,BANCA,NON DIGITAL,"  100,000 "
6/14/2022,3985,BANCA,NON DIGITAL,"  200,000,000 "
4/26/2023,6604,BANCA,NON DIGITAL,"  250,000,000 "
5/28/2012,9216,BANCA,NON DIGITAL,"  300,000,000 "
3/28/2019,5463,BANCA,NON DIGITAL,"  20,000 "
3/20/2024,4426,BANCA,NON DIGITAL,"  200,000,000 "
10/7/2022,2168,BANCA,NON DIGITAL,"  200,000,000 "
7/3/2020,1104,BANCA,NON DIGITAL,"  20,000,000 "
6/28/2011,9227,BANCA,NON DIGITAL,"  1,000,000,000 "
8/19/2022,2497,BANCA,NON DIGITAL,"  150,000,000 "
2/21/2024,7903,BANCA,NON DIGITAL,"  100,000,000 "
1/18/2024,7732,BANCA,NON DIGITAL,"  200,000,000 "
6/20/2017,1223,BANCA,NON DIGITAL,"  100,000,000 "
2/12/2013,305,BANCA,NON DIGITAL,"  50,000,000 "
12/22/2020,4251,BANCA,NON DIGITAL,"  15,000,000 "
1/25/2021,480,BANCA,NON DIGITAL,"  100,000,000 "
5/10/2021,480,BANCA,NON DIGITAL,"  10,000 "
5/24/2022,2960,BANCA,NON DIGITAL,"  100,000,000 "
12/21/2022,2960,BANCA,NON DIGITAL,"  15,000,000 "
2/27/2024,4206,BANCA,NON DIGITAL,"  25,000,000 "
1/28/2016,9216,BANCA,NON DIGITAL,"  100,000,000 "
2/13/2018,2960,BANCA,NON DIGITAL,"  1,000,000,000 "
11/7/2023,8779,BANCA,NON DIGITAL,"  500,000,000 "
11/15/2016,305,BANCA,NON DIGITAL,"  1,051,426,401 "
5/20/2022,2464,BANCA,NON DIGITAL,"  50,000,000 "
3/20/2023,7772,BANCA,NON DIGITAL,"  5,000,000 "
4/29/2021,305,BANCA,NON DIGITAL,"  100,000 "
1/14/2020,6217,BANCA,NON DIGITAL,"  100,000,000 "
3/2/2011,7050,BANCA,NON DIGITAL,"  150,000,000 "
6/22/2018,7050,BANCA,NON DIGITAL,"  28,811 "
8/31/2021,2464,BANCA,NON DIGITAL,"  50,000 "
12/30/2016,6911,BANCA,NON DIGITAL,"  33,100,000 "
2/15/2021,2271,BANCA,NON DIGITAL,"  100,000,000 "
8/31/2015,5203,BANCA,NON DIGITAL,"  13,015,200 "
7/20/2020,326,BANCA,NON DIGITAL,"  50,000,000 "
1/13/2020,4426,BANCA,NON DIGITAL,"  100,000,000 "
8/8/2019,2168,BANCA,NON DIGITAL,"  15,000,000 "
11/6/2019,4799,BANCA,NON DIGITAL,"  25,000,000 "
12/21/2018,1892,BANCA,NON DIGITAL,"  15,000,000 "
6/7/2022,8797,BANCA,NON DIGITAL,"  15,000,000 "
6/18/2014,2022,BANCA,NON DIGITAL,"  25,000,000 "
8/25/2014,2022,BANCA,NON DIGITAL,"  50,000,000 "
7/6/2012,3349,BANCA,NON DIGITAL,"  5,616,800 "
12/17/2020,1892,BANCA,NON DIGITAL,"  100,000,000 "
12/4/2023,7903,BANCA,NON DIGITAL,"  25,000,000 "
6/30/2020,1892,BANCA,NON DIGITAL,"  10,000 "
3/7/2011,2168,BANCA,NON DIGITAL,"  6,000 "
3/23/2015,2271,BANCA,NON DIGITAL,"  200,000,000 "
2/24/2022,2271,BANCA,NON DIGITAL,"  150,000,000 "
1/27/2011,246,BANCA,NON DIGITAL,"  4,000 "
4/4/2012,246,BANCA,NON DIGITAL,"  15,000,000 "
7/24/2012,246,BANCA,NON DIGITAL,"  50,000,000 "
3/31/2011,3105,BANCA,NON DIGITAL,"  10,000,000 "
4/29/2011,3105,BANCA,NON DIGITAL,"  120,000,000 "
5/25/2016,1223,BANCA,NON DIGITAL,"  25,000,000 "
2/21/2023,1892,BANCA,NON DIGITAL,"  500,000,000 "
12/15/2020,359,BANCA,NON DIGITAL,"  10,000 "
1/3/2022,359,BANCA,NON DIGITAL,"  300,000,000 "
5/22/2013,4900,BANCA,NON DIGITAL,"  500,000,000 "
3/20/2015,268,BANCA,NON DIGITAL,"  350,000 "
11/26/2021,1047,BANCA,NON DIGITAL,"  500,000,000 "
3/26/2019,5232,BANCA,NON DIGITAL,"  25,000,000 "
6/2/2021,837,BANCA,NON DIGITAL,"  50,000 "
4/14/2023,1365,BANCA,NON DIGITAL,"  250,000,000 "
1/11/2022,2464,BANCA,NON DIGITAL,"  25,000,000 "
3/2/2018,5203,BANCA,NON DIGITAL,"  25,000,000 "
1/13/2020,1104,BANCA,NON DIGITAL,"  300,000,000 "
9/28/2020,1104,BANCA,NON DIGITAL,"  700,000,000 "
1/31/2011,6326,BANCA,NON DIGITAL,"  300,000 "
7/9/2012,1795,BANCA,NON DIGITAL,"  100,000,000 "
1/23/2024,1047,BANCA,NON DIGITAL,"  200,000,000 "
2/27/2024,4926,BANCA,NON DIGITAL,"  50,000,000 "
11/23/2017,1795,BANCA,NON DIGITAL,"  15,000,000 "
9/28/2012,4266,BANCA,NON DIGITAL,"  10,000,000 "
4/29/2016,188,BANCA,NON DIGITAL,"  15,000,000 "
3/9/2012,4857,BANCA,NON DIGITAL,"  1,000,000,000 "
8/27/2014,4857,BANCA,NON DIGITAL,"  100,000,000 "
11/15/2018,8644,BANCA,NON DIGITAL,"  15,000,000 "
4/18/2024,65,DEBIT CARD,PAYMENT,"  191,400 "
4/17/2024,1104,DEBIT CARD,PAYMENT,"  329,000 "
4/17/2024,188,DEBIT CARD,PAYMENT,"  55,700 "
4/18/2024,8644,DEBIT CARD,PAYMENT,"  765,100 "
4/18/2024,8644,DEBIT CARD,PAYMENT,"  119,800 "
4/18/2024,4926,DEBIT CARD,PAYMENT,"  32,600 "
4/18/2024,4288,DEBIT CARD,PAYMENT,"  240,000 "
4/17/2024,3974,DEBIT CARD,PAYMENT,"  101,000 "
4/18/2024,1465,DEBIT CARD,PAYMENT,"  260,000 "
4/17/2024,4277,DEBIT CARD,PAYMENT,"  103,200 "
4/17/2024,1047,VIRTUAL DEBIT CARD,PAYMENT,"  11,000 "
4/17/2024,1047,VIRTUAL DEBIT CARD,PAYMENT,"  10,500 "
4/18/2024,1047,VIRTUAL DEBIT CARD,PAYMENT,"  46,000 "
4/18/2024,1047,VIRTUAL DEBIT CARD,PAYMENT,"  10,500 "
4/18/2024,1047,VIRTUAL DEBIT CARD,PAYMENT,"  14,000 "
4/17/2024,6604,VIRTUAL DEBIT CARD,PAYMENT,  5 
4/17/2024,1104,VIRTUAL DEBIT CARD,PAYMENT,  2 
4/17/2024,5027,VIRTUAL DEBIT CARD,PAYMENT,"  143,250 "
4/17/2024,6604,VIRTUAL DEBIT CARD,PAYMENT,"  131,000 "
4/18/2024,268,VIRTUAL DEBIT CARD,PAYMENT,"  79,000 "
4/17/2024,2146,VIRTUAL DEBIT CARD,PAYMENT,"  71,587 "
4/18/2024,2146,VIRTUAL DEBIT CARD,PAYMENT,"  51,800 "
4/18/2024,7669,DEBIT CARD,PAYMENT,"  45,000 "
4/17/2024,3569,DEBIT CARD,PAYMENT,"  138,600 "
4/17/2024,3569,DEBIT CARD,PAYMENT,"  478,856 "
4/24/2024,2759,DEBIT CARD,PAYMENT,  524 
4/24/2024,2759,DEBIT CARD,PAYMENT,  264 
4/24/2024,4926,DEBIT CARD,PAYMENT,"  4,140,600 "
4/24/2024,4926,DEBIT CARD,PAYMENT,"  3,240,200 "
4/24/2024,65,DEBIT CARD,PAYMENT,"  102,800 "
4/24/2024,76,DEBIT CARD,PAYMENT,"  2,099,000 "
4/25/2024,3161,DEBIT CARD,PAYMENT,"  69,900 "
4/24/2024,6604,DEBIT CARD,PAYMENT,"  187,560 "
4/24/2024,7743,DEBIT CARD,PAYMENT,"  99,000 "
4/25/2024,9216,DEBIT CARD,PAYMENT,"  80,850 "
4/24/2024,9216,DEBIT CARD,PAYMENT,"  186,000 "
4/25/2024,9216,DEBIT CARD,PAYMENT,"  286,850 "
4/24/2024,9216,DEBIT CARD,PAYMENT,"  94,800 "
4/25/2024,3974,DEBIT CARD,PAYMENT,"  95,000 "
4/25/2024,2464,VIRTUAL DEBIT CARD,PAYMENT,"  299,478 "
4/25/2024,2022,VIRTUAL DEBIT CARD,PAYMENT,"  45,000 "
4/24/2024,1892,DEBIT CARD,PAYMENT,"  76,000 "
4/24/2024,1892,DEBIT CARD,PAYMENT,"  8,639,200 "
4/24/2024,1892,DEBIT CARD,PAYMENT,"  102,880 "
4/25/2024,7163,DEBIT CARD,PAYMENT,"  106,956 "
4/25/2024,326,DEBIT CARD,PAYMENT,"  1,359,600 "
3/31/2024,3183,BRANCH,BUNGA,  740 
3/31/2024,600,BRANCH,BIAYA,"  15,000 "
3/31/2024,7550,BRANCH,BUNGA,  20 
3/31/2024,3161,BRANCH,PAJAK,  61 
3/31/2024,5312,BRANCH,BUNGA,  14 
3/31/2024,326,BRANCH,PAJAK,"  1,988 "
3/31/2024,5027,BRANCH,PAJAK,"  2,710 "
3/31/2024,5232,BRANCH,BIAYA,"  12,500 "
3/31/2024,359,BRANCH,PAJAK,"  44,241 "
3/31/2024,2237,BRANCH,BIAYA,"  5,000 "
3/31/2024,76,BRANCH,BUNGA,"  4,718 "
3/31/2024,600,BRANCH,BIAYA,"  12,500 "
3/31/2024,377,BRANCH,PAJAK,  101 
3/31/2024,2168,BRANCH,BIAYA,"  12,500 "
3/31/2024,3025,BRANCH,BUNGA,  1 
3/31/2024,2759,BRANCH,BIAYA,"  5,000 "
3/31/2024,1310,BRANCH,BUNGA,"  1,863 "
3/31/2024,779,BRANCH,BIAYA,"  12,500 "
3/31/2024,4799,BRANCH,BUNGA,"  6,405 "
3/31/2024,779,BRANCH,BUNGA,  336 
3/31/2024,7969,BRANCH,BIAYA,"  5,000 "
3/31/2024,246,BRANCH,BIAYA,"  12,500 "
3/31/2024,6604,BRANCH,BIAYA,"  12,500 "
3/31/2024,359,BRANCH,PAJAK,"  8,553 "
3/31/2024,5952,BRANCH,BIAYA,"  10,000 "
3/31/2024,8797,BRANCH,BUNGA,  646 
3/31/2024,8304,BRANCH,BIAYA,"  5,000 "
3/31/2024,4900,BRANCH,PAJAK,  147 
3/31/2024,786,BRANCH,PAJAK,  425 
3/31/2024,268,BRANCH,PAJAK,  0 
3/31/2024,6911,BRANCH,PAJAK,  30 
3/31/2024,480,BRANCH,BUNGA,  227 
3/31/2024,786,BRANCH,PAJAK,  291 
3/31/2024,3183,BRANCH,PAJAK,  691 
3/31/2024,4426,BRANCH,PAJAK,"  2,418 "
3/31/2024,3010,BRANCH,PAJAK,  79 
3/31/2024,9716,BRANCH,BIAYA,"  5,000 "
3/31/2024,1396,BRANCH,BUNGA,"  12,934 "
3/31/2024,7903,BRANCH,BUNGA,  148 
3/31/2024,3010,BRANCH,BUNGA,  78 
3/31/2024,7170,BRANCH,BUNGA,  7 
3/31/2024,2306,BRANCH,PAJAK,"  1,752 "
3/31/2024,1465,BRANCH,PAJAK,"  22,568 "
3/31/2024,3172,BRANCH,PAJAK,  151 
3/31/2024,2146,BRANCH,BIAYA,"  5,000 "
3/31/2024,246,BRANCH,BUNGA,"  6,244 "
3/31/2024,3985,BRANCH,PAJAK,"  27,213 "
3/31/2024,8797,BRANCH,PAJAK,  113 
3/31/2024,7903,BRANCH,PAJAK,  30 
3/31/2024,4900,BRANCH,BIAYA,"  30,000 "
3/31/2024,3105,BRANCH,BIAYA,"  20,000 "
3/31/2024,5232,BRANCH,BUNGA,"  2,187 "
3/31/2024,2306,BRANCH,PAJAK,  9 
3/31/2024,844,BRANCH,BIAYA,"  2,500 "
3/31/2024,280,BRANCH,BUNGA,"  7,550 "
3/31/2024,377,BRANCH,BIAYA,"  12,500 "
3/31/2024,779,BRANCH,PAJAK,  515 
3/31/2024,4266,BRANCH,BIAYA,"  2,000 "
3/31/2024,377,BRANCH,BUNGA,  173 
3/31/2024,7050,BRANCH,PAJAK,  884 
3/31/2024,5027,BRANCH,PAJAK,  275 
3/31/2024,4799,BRANCH,BIAYA,"  5,809 "
3/31/2024,3694,BRANCH,PAJAK,"  2,438 "
3/31/2024,359,BRANCH,BUNGA,  33 
